state,county,date_stay_at_home_effective
Minnesota,Lac qui Parle,2020-03-27
Mississippi,Carroll,2020-04-03
Mississippi,Pike,2020-04-03
Montana,Broadwater,2020-03-28
Pennsylvania,Monroe,2020-04-01
South Dakota,Fall River,NA
Texas,Bell,2020-04-02
Utah,Uintah,NA
West Virginia,Greenbrier,2020-03-24
Wisconsin,Buffalo,2020-03-25
South Dakota,Tripp,NA
Texas,Coleman,2020-04-02
Nebraska,Hayes,NA
Nevada,Esmeralda,2020-04-01
Alabama,Walker,2020-04-04
Arkansas,Cross,NA
Georgia,Terrell,2020-04-03
Idaho,Bingham,2020-03-25
Indiana,Montgomery,2020-03-24
Iowa,Wright,NA
Kentucky,Boyle,2020-03-26
Minnesota,Crow Wing,2020-03-27
Minnesota,Rock,2020-03-27
Oklahoma,Cleveland,NA
Tennessee,Clay,2020-03-31
Wisconsin,Shawano,2020-03-25
Arkansas,Little River,NA
Kansas,Rice,2020-03-30
Nebraska,Nuckolls,NA
Puerto Rico,Cabo Rojo,NA
Tennessee,Pickett,2020-03-31
Georgia,Brantley,2020-04-03
Indiana,Lawrence,2020-03-24
Kentucky,Butler,2020-03-26
Louisiana,St. John the Baptist,2020-03-23
Mississippi,Tate,2020-04-03
Nebraska,Polk,NA
Ohio,Hamilton,2020-03-23
Oklahoma,Woodward,NA
South Carolina,Richland,NA
Tennessee,Hamblen,2020-03-31
Texas,Dallas,2020-04-02
Texas,Milam,2020-04-02
Washington,Grant,2020-03-23
Washington,Pierce,2020-03-23
West Virginia,Hardy,2020-03-24
West Virginia,McDowell,2020-03-24
Wisconsin,Ozaukee,2020-03-25
Texas,Real,2020-04-02
Arkansas,Calhoun,NA
Montana,Daniels,2020-03-28
Montana,Wibaux,2020-03-28
Georgia,Polk,2020-04-03
Illinois,Madison,2020-03-21
Illinois,McLean,2020-03-21
Kentucky,Cumberland,2020-03-26
Missouri,Clinton,2020-04-06
Nebraska,Cuming,NA
New York,Herkimer,2020-03-22
New York,Jefferson,2020-03-22
Ohio,Brown,2020-03-23
Texas,Hamilton,2020-04-02
Virginia,Petersburg city,2020-03-30
Virginia,Washington,2020-03-30
Washington,Grays Harbor,2020-03-23
Illinois,Hardin,2020-03-21
Kentucky,Owen,2020-03-26
Texas,Mills,2020-04-02
Arkansas,Faulkner,NA
California,Sonoma,2020-03-19
Colorado,Rio Grande,2020-03-26
Florida,Marion,2020-04-03
Illinois,Wabash,2020-03-21
Louisiana,St. Bernard,2020-03-23
Missouri,Cape Girardeau,2020-04-06
Oklahoma,Garfield,NA
Tennessee,Warren,2020-03-31
Texas,Kendall,2020-04-02
Texas,Somervell,2020-04-02
Kansas,Smith,2020-03-30
Missouri,Camden,2020-04-06
Montana,Liberty,2020-03-28
North Carolina,Hertford,2020-03-30
North Carolina,Rockingham,2020-03-30
North Carolina,Vance,2020-03-30
Pennsylvania,Westmoreland,2020-04-01
Texas,Taylor,2020-04-02
Utah,Grand,NA
New Mexico,Sierra,2020-03-24
Puerto Rico,Dorado,NA
West Virginia,Calhoun,2020-03-24
Kansas,Rush,2020-03-30
Texas,Culberson,2020-04-02
Montana,Carter,2020-03-28
Georgia,Toombs,2020-04-03
Georgia,Troup,2020-04-03
Georgia,Wayne,2020-04-03
Indiana,Delaware,2020-03-24
Kansas,Phillips,2020-03-30
Kentucky,Edmonson,2020-03-26
Missouri,Washington,2020-04-06
New Jersey,Burlington,2020-03-21
Ohio,Lawrence,2020-03-23
Ohio,Washington,2020-03-23
Pennsylvania,Columbia,2020-04-01
Rhode Island,Bristol,2020-03-28
South Dakota,Lincoln,NA
Tennessee,Monroe,2020-03-31
Puerto Rico,Rincon,NA
South Dakota,Custer,NA
Arkansas,Union,NA
Georgia,Brooks,2020-04-03
Illinois,DeKalb,2020-03-21
Illinois,Livingston,2020-03-21
Indiana,Kosciusko,2020-03-24
Louisiana,Plaquemines,2020-03-23
Massachusetts,Bristol,2020-03-24
Michigan,Kalkaska,2020-03-24
Nebraska,Dodge,NA
New York,Cattaraugus,2020-03-22
North Carolina,Guilford,2020-03-30
Ohio,Morgan,2020-03-23
Pennsylvania,Montour,2020-04-01
Pennsylvania,Susquehanna,2020-04-01
Tennessee,Knox,2020-03-31
Texas,Lavaca,2020-04-02
Texas,Williamson,2020-04-02
Virginia,Gloucester,2020-03-30
Wyoming,Crook,NA
Puerto Rico,Fajardo,NA
Missouri,Barton,2020-04-06
South Dakota,Gregory,NA
Arkansas,Van Buren,NA
California,San Mateo,2020-03-19
Georgia,Emanuel,2020-04-03
Georgia,Hart,2020-04-03
Illinois,Piatt,2020-03-21
Indiana,Orange,2020-03-24
Kentucky,Morgan,2020-03-26
Missouri,Moniteau,2020-04-06
New Mexico,Lincoln,2020-03-24
New Mexico,San Juan,2020-03-24
Ohio,Gallia,2020-03-23
Oregon,Coos,2020-03-23
Pennsylvania,Mercer,2020-04-01
Tennessee,Union,2020-03-31
California,Lake,2020-03-19
Florida,Jefferson,2020-04-03
Georgia,Union,2020-04-03
Indiana,Tipton,2020-03-24
Kansas,Stanton,2020-03-30
Louisiana,Pointe Coupee,2020-03-23
Minnesota,Steele,2020-03-27
Montana,Glacier,2020-03-28
New York,Rockland,2020-03-22
North Carolina,Hoke,2020-03-30
North Dakota,McHenry,NA
Ohio,Seneca,2020-03-23
Oklahoma,Johnston,NA
Oklahoma,Osage,NA
South Carolina,Sumter,NA
Tennessee,Gibson,2020-03-31
Texas,San Saba,2020-04-02
Alabama,Lawrence,2020-04-04
Arkansas,Sharp,NA
Georgia,Gordon,2020-04-03
Kansas,Franklin,2020-03-30
Michigan,Shiawassee,2020-03-24
Mississippi,Jefferson,2020-04-03
Mississippi,Tishomingo,2020-04-03
Nebraska,Red Willow,NA
Ohio,Licking,2020-03-23
South Carolina,Beaufort,NA
Texas,Bexar,2020-04-02
Texas,Navarro,2020-04-02
Texas,Trinity,2020-04-02
Wisconsin,Marathon,2020-03-25
Wyoming,Sublette,NA
Idaho,Benewah,2020-03-25
Illinois,Scott,2020-03-21
Arkansas,Dallas,NA
California,Nevada,2020-03-19
Florida,Calhoun,2020-04-03
Georgia,Cherokee,2020-04-03
Georgia,Dade,2020-04-03
Georgia,Decatur,2020-04-03
Michigan,Leelanau,2020-03-24
Mississippi,Choctaw,2020-04-03
New York,Orange,2020-03-22
Texas,Medina,2020-04-02
Texas,Willacy,2020-04-02
Utah,Morgan,NA
Washington,Cowlitz,2020-03-23
North Dakota,Traill,NA
Puerto Rico,Aibonito,NA
North Dakota,LaMoure,NA
Nevada,Eureka,2020-04-01
Florida,Martin,2020-04-03
Idaho,Owyhee,2020-03-25
Illinois,Iroquois,2020-03-21
Louisiana,East Feliciana,2020-03-23
Maine,Somerset,2020-04-02
Missouri,Taney,2020-04-06
North Carolina,Moore,2020-03-30
North Carolina,Nash,2020-03-30
North Dakota,McLean,NA
Pennsylvania,Juniata,2020-04-01
Tennessee,DeKalb,2020-03-31
Texas,Llano,2020-04-02
Texas,Marion,2020-04-02
Washington,Spokane,2020-03-23
Nebraska,Keya Paha,NA
Alabama,Pickens,2020-04-04
Colorado,Weld,2020-03-26
Kentucky,Anderson,2020-03-26
Kentucky,Clark,2020-03-26
North Carolina,Mecklenburg,2020-03-30
North Carolina,Orange,2020-03-30
Ohio,Ashtabula,2020-03-23
Ohio,Sandusky,2020-03-23
South Carolina,Horry,NA
Iowa,Lucas,NA
Iowa,Ringgold,NA
Kansas,Allen,2020-03-30
Arizona,La Paz,2020-03-31
California,Mono,2020-03-19
Colorado,Lake,2020-03-26
Georgia,Hall,2020-04-03
Iowa,Buena Vista,NA
Kentucky,Clinton,2020-03-26
Louisiana,Rapides,2020-03-23
Minnesota,Dakota,2020-03-27
Minnesota,Olmsted,2020-03-27
New Hampshire,Hillsborough,2020-03-27
Oklahoma,Grady,NA
South Carolina,Newberry,NA
Tennessee,Macon,2020-03-31
Texas,Galveston,2020-04-02
Texas,Orange,2020-04-02
Texas,Robertson,2020-04-02
Utah,Salt Lake,NA
Vermont,Essex,2020-03-24
Washington,Whitman,2020-03-23
Colorado,Cheyenne,2020-03-26
Kansas,Ellsworth,2020-03-30
North Dakota,Ransom,NA
Kansas,Washington,2020-03-30
Missouri,Joplin,2020-04-06
Illinois,McDonough,2020-03-21
Indiana,Warren,2020-03-24
Maryland,Dorchester,2020-03-30
Missouri,Barry,2020-04-06
Nebraska,York,NA
New York,Columbia,2020-03-22
North Carolina,Jackson,2020-03-30
Oregon,Josephine,2020-03-23
Pennsylvania,Butler,2020-04-01
Texas,Liberty,2020-04-02
Texas,Matagorda,2020-04-02
Colorado,Baca,2020-03-26
Georgia,Towns,2020-04-03
Iowa,Clayton,NA
Mississippi,Union,2020-04-03
Mississippi,Webster,2020-04-03
New York,Allegany,2020-03-22
New York,Sullivan,2020-03-22
Oklahoma,Noble,NA
Pennsylvania,Lawrence,2020-04-01
Tennessee,Roane,2020-03-31
Vermont,Chittenden,2020-03-24
Virginia,Shenandoah,2020-03-30
West Virginia,Tucker,2020-03-24
Puerto Rico,Manati,NA
Florida,Santa Rosa,2020-04-03
Indiana,Blackford,2020-03-24
Iowa,Monona,NA
Maryland,Kent,2020-03-30
Michigan,Muskegon,2020-03-24
New Mexico,Santa Fe,2020-03-24
New York,Rensselaer,2020-03-22
Pennsylvania,Beaver,2020-04-01
Washington,Lewis,2020-03-23
Wisconsin,Calumet,2020-03-25
Iowa,Cherokee,NA
Alaska,Dillingham Census Area,2020-03-28
Nebraska,Logan,NA
Alabama,Marengo,2020-04-04
Alabama,Montgomery,2020-04-04
Arkansas,Madison,NA
Colorado,Huerfano,2020-03-26
Georgia,Camden,2020-04-03
Georgia,Grady,2020-04-03
Georgia,Houston,2020-04-03
Georgia,Washington,2020-04-03
Iowa,Dubuque,NA
Kentucky,Madison,2020-03-26
Minnesota,Todd,2020-03-27
Nevada,Elko,2020-04-01
New Mexico,Doña Ana,2020-03-24
Oklahoma,Okfuskee,NA
Oregon,Umatilla,2020-03-23
South Dakota,Oglala Lakota,NA
Texas,Pecos,2020-04-02
Kansas,Comanche,2020-03-30
Missouri,Hickory,2020-04-06
Florida,Glades,2020-04-03
Georgia,McIntosh,2020-04-03
Idaho,Bannock,2020-03-25
Indiana,Lake,2020-03-24
Kansas,Atchison,2020-03-30
Kansas,Pottawatomie,2020-03-30
Michigan,Arenac,2020-03-24
Minnesota,Benton,2020-03-27
Mississippi,Noxubee,2020-04-03
New Hampshire,Merrimack,2020-03-27
New York,Cayuga,2020-03-22
North Carolina,Richmond,2020-03-30
Texas,Angelina,2020-04-02
Texas,Gregg,2020-04-02
Virginia,Frederick,2020-03-30
Wisconsin,Kewaunee,2020-03-25
Puerto Rico,Lajas,NA
North Dakota,Dickey,NA
Texas,Hudspeth,2020-04-02
South Dakota,Haakon,NA
New Mexico,Mora,2020-03-24
Montana,Petroleum,2020-03-28
Arkansas,Searcy,NA
Georgia,Appling,2020-04-03
Kentucky,Monroe,2020-03-26
Kentucky,Trimble,2020-03-26
Louisiana,Tangipahoa,2020-03-23
Maine,Knox,2020-04-02
Michigan,Berrien,2020-03-24
Ohio,Paulding,2020-03-23
West Virginia,Hancock,2020-03-24
Missouri,Lawrence,2020-04-06
Colorado,Sedgwick,2020-03-26
Alaska,Fairbanks North Star Borough,2020-03-28
Arkansas,Independence,NA
Arkansas,Ouachita,NA
Florida,Suwannee,2020-04-03
Indiana,Greene,2020-03-24
Massachusetts,Dukes,2020-03-24
Minnesota,Watonwan,2020-03-27
Mississippi,Tunica,2020-04-03
Oregon,Curry,2020-03-23
Pennsylvania,Bradford,2020-04-01
South Dakota,Bon Homme,NA
Texas,Donley,2020-04-02
Wyoming,Lincoln,NA
Alaska,Northwest Arctic Borough,2020-03-28
South Dakota,Kingsbury,NA
Texas,Foard,2020-04-02
Alaska,Yukon-Koyukuk Census Area,2020-03-28
California,Napa,2020-03-19
California,Santa Barbara,2020-03-19
Georgia,Baldwin,2020-04-03
Georgia,Bleckley,2020-04-03
Idaho,Ada,2020-03-25
Iowa,Shelby,NA
Kentucky,Nelson,2020-03-26
Maine,Franklin,2020-04-02
Missouri,Jefferson,2020-04-06
Montana,Carbon,2020-03-28
North Carolina,Montgomery,2020-03-30
North Dakota,Burke,NA
Pennsylvania,Somerset,2020-04-01
Tennessee,Lewis,2020-03-31
Wisconsin,Winnebago,2020-03-25
Wyoming,Fremont,NA
Missouri,Schuyler,2020-04-06
Florida,Hernando,2020-04-03
Michigan,Roscommon,2020-03-24
Minnesota,Chippewa,2020-03-27
Nebraska,Cherry,NA
New York,Onondaga,2020-03-22
Oklahoma,Canadian,NA
Tennessee,Crockett,2020-03-31
Tennessee,Dickson,2020-03-31
Texas,Grayson,2020-04-02
Texas,Jones,2020-04-02
Texas,Winkler,2020-04-02
Washington,Asotin,2020-03-23
Puerto Rico,Ciales,NA
Texas,Upton,2020-04-02
Alabama,Cherokee,2020-04-04
California,Del Norte,2020-03-19
Idaho,Idaho,2020-03-25
Illinois,Alexander,2020-03-21
Indiana,Posey,2020-03-24
Indiana,Vigo,2020-03-24
Iowa,Story,NA
Minnesota,Nicollet,2020-03-27
Minnesota,Wabasha,2020-03-27
Tennessee,Anderson,2020-03-31
North Carolina,Graham,2020-03-30
Puerto Rico,Yauco,NA
Colorado,Moffat,2020-03-26
Georgia,Cobb,2020-04-03
Georgia,Columbia,2020-04-03
Indiana,Pulaski,2020-03-24
Indiana,Putnam,2020-03-24
Kentucky,Carroll,2020-03-26
Maine,Washington,2020-04-02
Maryland,Montgomery,2020-03-30
North Carolina,Anson,2020-03-30
Oklahoma,Haskell,NA
Oklahoma,Okmulgee,NA
South Carolina,Spartanburg,NA
West Virginia,Berkeley,2020-03-24
Wisconsin,Washburn,2020-03-25
Kentucky,Magoffin,2020-03-26
North Carolina,Hyde,2020-03-30
Nebraska,Sheridan,NA
Alaska,Southeast Fairbanks Census Area,2020-03-28
Colorado,Saguache,2020-03-26
Georgia,Early,2020-04-03
Idaho,Latah,2020-03-25
Indiana,Owen,2020-03-24
Kansas,Cloud,2020-03-30
Michigan,Allegan,2020-03-24
Mississippi,Pearl River,2020-04-03
Missouri,Linn,2020-04-06
New Jersey,Somerset,2020-03-21
North Carolina,Yadkin,2020-03-30
Ohio,Allen,2020-03-23
Ohio,Knox,2020-03-23
Texas,Jim Wells,2020-04-02
Texas,Sherman,2020-04-02
Texas,Upshur,2020-04-02
Wyoming,Niobrara,NA
Virginia,Patrick,2020-03-30
Kansas,Hodgeman,2020-03-30
South Dakota,Jones,NA
Illinois,St. Clair,2020-03-21
Kansas,Wabaunsee,2020-03-30
Mississippi,Bolivar,2020-04-03
Mississippi,Coahoma,2020-04-03
Missouri,Scotland,2020-04-06
Nebraska,Cheyenne,NA
Nevada,Mineral,2020-04-01
New Hampshire,Cheshire,2020-03-27
New York,Westchester,2020-03-22
North Carolina,Franklin,2020-03-30
North Dakota,Ward,NA
Ohio,Preble,2020-03-23
Pennsylvania,Lehigh,2020-04-01
Virginia,Alleghany,2020-03-30
Wisconsin,Marinette,2020-03-25
Wisconsin,Waushara,2020-03-25
Wyoming,Converse,NA
Montana,Chouteau,2020-03-28
Arkansas,Desha,NA
Florida,Columbia,2020-04-03
Louisiana,Morehouse,2020-03-23
Michigan,Cheboygan,2020-03-24
Michigan,Tuscola,2020-03-24
Mississippi,Franklin,2020-04-03
Nebraska,Clay,NA
New Hampshire,Belknap,2020-03-27
Ohio,Highland,2020-03-23
Tennessee,Grundy,2020-03-31
Tennessee,Madison,2020-03-31
Texas,La Salle,2020-04-02
Indiana,Starke,2020-03-24
Kentucky,Ballard,2020-03-26
Kentucky,Graves,2020-03-26
Mississippi,Amite,2020-04-03
New York,Madison,2020-03-22
Ohio,Morrow,2020-03-23
South Carolina,Allendale,NA
Virginia,Galax city,2020-03-30
Virginia,Smyth,2020-03-30
South Dakota,Buffalo,NA
Oklahoma,Ellis,NA
California,Tulare,2020-03-19
Florida,Franklin,2020-04-03
Georgia,Webster,2020-04-03
Illinois,Coles,2020-03-21
Kansas,Scott,2020-03-30
Kentucky,Perry,2020-03-26
Louisiana,LaSalle,2020-03-23
Michigan,Gratiot,2020-03-24
Missouri,Jackson,2020-04-06
Nebraska,Phelps,NA
Ohio,Hocking,2020-03-23
Oklahoma,Cotton,NA
Oklahoma,Logan,NA
Texas,Zavala,2020-04-02
Virginia,Henrico,2020-03-30
Alabama,Shelby,2020-04-04
California,Kern,2020-03-19
Kentucky,Breathitt,2020-03-26
Kentucky,Logan,2020-03-26
Michigan,Oscoda,2020-03-24
Missouri,Adair,2020-04-06
Montana,Lewis and Clark,2020-03-28
Nebraska,Washington,NA
New York,Monroe,2020-03-22
North Carolina,Cherokee,2020-03-30
South Carolina,Barnwell,NA
South Dakota,Minnehaha,NA
Wisconsin,Monroe,2020-03-25
Wyoming,Big Horn,NA
Kansas,Brown,2020-03-30
Missouri,Mississippi,2020-04-06
Puerto Rico,Coamo,NA
Nebraska,Sioux,NA
Texas,Crockett,2020-04-02
Texas,Sterling,2020-04-02
California,Siskiyou,2020-03-19
Florida,Pasco,2020-04-03
Kentucky,Todd,2020-03-26
Louisiana,Evangeline,2020-03-23
Michigan,Calhoun,2020-03-24
Minnesota,Sibley,2020-03-27
Missouri,Johnson,2020-04-06
New Jersey,Union,2020-03-21
New York,St. Lawrence,2020-03-22
Tennessee,Shelby,2020-03-31
Texas,Yoakum,2020-04-02
Utah,Juab,NA
Vermont,Washington,2020-03-24
Virginia,Appomattox,2020-03-30
North Dakota,Bottineau,NA
Texas,Kent,2020-04-02
Florida,Escambia,2020-04-03
Kentucky,Montgomery,2020-03-26
Missouri,Harrison,2020-04-06
New Hampshire,Strafford,2020-03-27
New York,Suffolk,2020-03-22
North Carolina,Brunswick,2020-03-30
North Dakota,McKenzie,NA
Texas,Cherokee,2020-04-02
Texas,Parker,2020-04-02
Virginia,Prince William,2020-03-30
Virginia,Warren,2020-03-30
West Virginia,Roane,2020-03-24
Montana,Sheridan,2020-03-28
Alaska,Ketchikan Gateway Borough,2020-03-28
Georgia,Jasper,2020-04-03
Iowa,Butler,NA
Kansas,Mitchell,2020-03-30
Kentucky,Caldwell,2020-03-26
Louisiana,St. James,2020-03-23
Michigan,Chippewa,2020-03-24
Michigan,Clare,2020-03-24
Minnesota,Mower,2020-03-27
Minnesota,Polk,2020-03-27
Minnesota,Swift,2020-03-27
New Jersey,Passaic,2020-03-21
North Dakota,Sargent,NA
Ohio,Athens,2020-03-23
Pennsylvania,Lackawanna,2020-04-01
Tennessee,Campbell,2020-03-31
Virginia,Southampton,2020-03-30
Wisconsin,Rusk,2020-03-25
Oregon,Baker,2020-03-23
South Dakota,Dewey,NA
Georgia,Cook,2020-04-03
Georgia,Heard,2020-04-03
Illinois,Champaign,2020-03-21
Illinois,Clark,2020-03-21
Illinois,Hancock,2020-03-21
Indiana,LaGrange,2020-03-24
Minnesota,Lincoln,2020-03-27
Minnesota,Traverse,2020-03-27
Mississippi,Tippah,2020-04-03
New Jersey,Cape May,2020-03-21
South Dakota,Davison,NA
Kentucky,Metcalfe,2020-03-26
Alabama,Wilcox,2020-04-04
Georgia,Jenkins,2020-04-03
Idaho,Canyon,2020-03-25
Illinois,De Witt,2020-03-21
Illinois,Warren,2020-03-21
Kansas,Barber,2020-03-30
Kentucky,Calloway,2020-03-26
Kentucky,Crittenden,2020-03-26
Mississippi,Pontotoc,2020-04-03
Nebraska,Saunders,NA
North Carolina,Randolph,2020-03-30
Oklahoma,Alfalfa,NA
South Carolina,Williamsburg,NA
Tennessee,Loudon,2020-03-31
Tennessee,Perry,2020-03-31
Texas,Andrews,2020-04-02
Texas,Callahan,2020-04-02
Texas,Clay,2020-04-02
Texas,Collin,2020-04-02
Texas,Wise,2020-04-02
Virginia,Manassas Park city,2020-03-30
Virginia,Westmoreland,2020-03-30
Iowa,Sac,NA
Puerto Rico,Guanica,NA
Kansas,Rawlins,2020-03-30
Alabama,Mobile,2020-04-04
Alabama,Talladega,2020-04-04
Arkansas,Grant,NA
Colorado,Archuleta,2020-03-26
Colorado,Morgan,2020-03-26
Florida,Palm Beach,2020-04-03
Idaho,Caribou,2020-03-25
Illinois,Marshall,2020-03-21
Indiana,St. Joseph,2020-03-24
Kentucky,Ohio,2020-03-26
Massachusetts,Nantucket,2020-03-24
Michigan,Mecosta,2020-03-24
Missouri,Butler,2020-04-06
North Dakota,Bowman,NA
Ohio,Henry,2020-03-23
Pennsylvania,Blair,2020-04-01
Texas,Val Verde,2020-04-02
Virginia,Clarke,2020-03-30
West Virginia,Braxton,2020-03-24
Oklahoma,Cimarron,NA
Alaska,Aleutians West Census Area,2020-03-28
South Dakota,Mellette,NA
Arkansas,Yell,NA
California,Solano,2020-03-19
Florida,Brevard,2020-04-03
Illinois,Massac,2020-03-21
Kentucky,Rowan,2020-03-26
Louisiana,West Feliciana,2020-03-23
Missouri,Polk,2020-04-06
Nevada,Douglas,2020-04-01
North Carolina,Gaston,2020-03-30
Ohio,Warren,2020-03-23
South Dakota,Hughes,NA
Tennessee,Putnam,2020-03-31
Virginia,Craig,2020-03-30
Wisconsin,Manitowoc,2020-03-25
Puerto Rico,Florida,NA
Puerto Rico,Utuado,NA
North Dakota,Steele,NA
Kansas,Decatur,2020-03-30
Virginia,Bath,2020-03-30
Arkansas,White,NA
Illinois,Perry,2020-03-21
Kansas,Miami,2020-03-30
Michigan,Monroe,2020-03-24
Montana,Gallatin,2020-03-28
North Carolina,Caldwell,2020-03-30
North Carolina,Wilson,2020-03-30
Virginia,Middlesex,2020-03-30
Washington,Skamania,2020-03-23
North Dakota,Renville,NA
California,Modoc,2020-03-19
Arkansas,Poinsett,NA
Georgia,Montgomery,2020-04-03
Georgia,Putnam,2020-04-03
Illinois,Bond,2020-03-21
Illinois,Williamson,2020-03-21
Kansas,Ellis,2020-03-30
Michigan,Livingston,2020-03-24
Montana,Lake,2020-03-28
Nebraska,Butler,NA
Ohio,Richland,2020-03-23
Oregon,Douglas,2020-03-23
Vermont,Grand Isle,2020-03-24
Vermont,Windham,2020-03-24
Wisconsin,Door,2020-03-25
Oklahoma,Blaine,NA
Puerto Rico,Moca,NA
Texas,King,2020-04-02
Florida,Lake,2020-04-03
Florida,Osceola,2020-04-03
Idaho,Fremont,2020-03-25
Illinois,Logan,2020-03-21
Illinois,Wayne,2020-03-21
Indiana,Scott,2020-03-24
Iowa,Black Hawk,NA
Maryland,Charles,2020-03-30
Minnesota,Goodhue,2020-03-27
Minnesota,Jackson,2020-03-27
Missouri,Boone,2020-04-06
South Dakota,Meade,NA
Texas,Jasper,2020-04-02
Texas,Montgomery,2020-04-02
Texas,Van Zandt,2020-04-02
Wisconsin,Waukesha,2020-03-25
Idaho,Clearwater,2020-03-25
Alabama,Etowah,2020-04-04
California,Alpine,2020-03-19
Georgia,Thomas,2020-04-03
Illinois,Jo Daviess,2020-03-21
Illinois,Johnson,2020-03-21
Ohio,Cuyahoga,2020-03-23
South Carolina,Dillon,NA
Utah,Cache,NA
Virginia,Loudoun,2020-03-30
Iowa,Fremont,NA
Nebraska,Richardson,NA
Puerto Rico,Loiza,NA
West Virginia,Ritchie,2020-03-24
Illinois,Randolph,2020-03-21
Indiana,Fulton,2020-03-24
Iowa,Grundy,NA
Iowa,Warren,NA
Kentucky,Hardin,2020-03-26
Louisiana,Bienville,2020-03-23
Mississippi,Hancock,2020-04-03
Nebraska,Custer,NA
Ohio,Williams,2020-03-23
Oregon,Multnomah,2020-03-23
South Dakota,Spink,NA
Tennessee,Jackson,2020-03-31
Tennessee,Wilson,2020-03-31
Virginia,Alexandria city,2020-03-30
Wisconsin,Rock,2020-03-25
Wisconsin,Vilas,2020-03-25
Alabama,Fayette,2020-04-04
Alabama,Sumter,2020-04-04
Arizona,Yavapai,2020-03-31
California,Alameda,2020-03-19
California,Plumas,2020-03-19
Florida,Levy,2020-04-03
Georgia,DeKalb,2020-04-03
Illinois,Knox,2020-03-21
Illinois,Union,2020-03-21
Indiana,Marion,2020-03-24
Kentucky,Bracken,2020-03-26
Mississippi,Leake,2020-04-03
Missouri,Bates,2020-04-06
Missouri,Ray,2020-04-06
North Carolina,Craven,2020-03-30
North Carolina,Henderson,2020-03-30
South Carolina,Edgefield,NA
Tennessee,Coffee,2020-03-31
Wisconsin,Lafayette,2020-03-25
North Carolina,Madison,2020-03-30
Puerto Rico,San Sebastian,NA
Alabama,Cleburne,2020-04-04
Alaska,Matanuska-Susitna Borough,2020-03-28
Georgia,Floyd,2020-04-03
Illinois,Menard,2020-03-21
Iowa,O'Brien,NA
Minnesota,McLeod,2020-03-27
Missouri,Cole,2020-04-06
Texas,McCulloch,2020-04-02
Texas,Titus,2020-04-02
Texas,Wilbarger,2020-04-02
Wisconsin,Menominee,2020-03-25
Nebraska,Cedar,NA
Puerto Rico,Cayey,NA
Alabama,Franklin,2020-04-04
Florida,Leon,2020-04-03
Indiana,Decatur,2020-03-24
Iowa,Plymouth,NA
Louisiana,Avoyelles,2020-03-23
Michigan,Washtenaw,2020-03-24
Mississippi,Walthall,2020-04-03
Texas,Hopkins,2020-04-02
Texas,Wood,2020-04-02
Utah,Box Elder,NA
Virginia,Fairfax city,2020-03-30
Virginia,Lynchburg city,2020-03-30
Virginia,Spotsylvania,2020-03-30
Alabama,Winston,2020-04-04
Arkansas,Marion,NA
Florida,Lee,2020-04-03
Georgia,Henry,2020-04-03
Georgia,Jefferson,2020-04-03
Illinois,Rock Island,2020-03-21
Kentucky,Christian,2020-03-26
Louisiana,Ascension,2020-03-23
Maryland,St. Mary's,2020-03-30
Michigan,Ogemaw,2020-03-24
Michigan,Wayne,2020-03-24
Mississippi,Greene,2020-04-03
Mississippi,Tallahatchie,2020-04-03
North Carolina,Columbus,2020-03-30
North Carolina,Mitchell,2020-03-30
Ohio,Jackson,2020-03-23
Virginia,Franklin,2020-03-30
Wisconsin,Sauk,2020-03-25
Puerto Rico,Penuelas,NA
Idaho,Butte,2020-03-25
Florida,Nassau,2020-04-03
Illinois,Whiteside,2020-03-21
Iowa,Carroll,NA
Kansas,Haskell,2020-03-30
Kentucky,Martin,2020-03-26
Missouri,Oregon,2020-04-06
Oregon,Polk,2020-03-23
Texas,Palo Pinto,2020-04-02
Washington,Yakima,2020-03-23
West Virginia,Mason,2020-03-24
Puerto Rico,Cidra,NA
Kansas,Greeley,2020-03-30
Michigan,Presque Isle,2020-03-24
New York,Clinton,2020-03-22
North Dakota,Burleigh,NA
North Dakota,Richland,NA
Ohio,Summit,2020-03-23
Tennessee,Houston,2020-03-31
Texas,Lee,2020-04-02
Texas,Smith,2020-04-02
Virginia,James City,2020-03-30
Virginia,Williamsburg city,2020-03-30
Wisconsin,Pierce,2020-03-25
Arkansas,Conway,NA
Illinois,Greene,2020-03-21
Kansas,Sedgwick,2020-03-30
Kentucky,Trigg,2020-03-26
Louisiana,Caldwell,2020-03-23
Maine,Aroostook,2020-04-02
Missouri,Audrain,2020-04-06
Missouri,Dunklin,2020-04-06
Missouri,Stoddard,2020-04-06
Nebraska,Burt,NA
New York,Broome,2020-03-22
Pennsylvania,Montgomery,2020-04-01
Tennessee,Morgan,2020-03-31
Texas,McLennan,2020-04-02
Virginia,Prince George,2020-03-30
Montana,Dawson,2020-03-28
Florida,Putnam,2020-04-03
Georgia,Fulton,2020-04-03
Idaho,Gem,2020-03-25
Illinois,Richland,2020-03-21
Iowa,Boone,NA
Kentucky,Spencer,2020-03-26
Minnesota,Isanti,2020-03-27
Montana,Yellowstone,2020-03-28
Oregon,Klamath,2020-03-23
Tennessee,Lauderdale,2020-03-31
Utah,Summit,NA
Virginia,Richmond city,2020-03-30
Missouri,Carroll,2020-04-06
Virginia,Norton city,2020-03-30
Nebraska,Boyd,NA
Utah,Wayne,NA
